2939,وتوصاح3,گروه س توسعه صنعتی ایران,3,43,2021-01-10,Iran Ind. Dev.-R,,IRR1TOSA0103,TOSX3,ح. سرمایه‌گذاری توسعه‌صنعتی,29267740419842077,IRR1TOSA0101,TOSA,674,7,8,
2961,زشگزا4,شیر و گوشت زاگرس شهرکرد,5,1,2021-01-10,Zagros Meat & Milk,,IRO3ZMMZ0004,ZMMZ4,شیر و گوشت زاگرس شهرکرد,57366767447237856,IRO3ZMMZ0008,ZMMZ,995,14,30,
3285,کپارس4,کاشی‌ پارس‌,4,36,2021-01-10,Pars Tile,,IRO1KPRS0004,KPRS4,کاشی‌ پارس‌,68894834497092643,IRO1KPRS0008,KPRS,420,9,6,
3722,سپیدار3,سپیدار سیستم آسیا,6,58,2021-01-10,Sepidar System,,IRO3SSYZ0003,SSYZ3,سپیدار سیستم آسیا,66242811461338992,IRO3SSYZ0007,SSYZ,1066,15,29,
3913,سارومح2,سیمان‌ارومیه‌,3,40,2021-01-10,Oroumiyeh Cem.-R,,IRR1SURO0102,SURX2,ح . سیمان‌ارومیه‌,27869992965796844,IRR1SURO0109,SURO,593,7,7,
23,برکت,گروه دارویی برکت,4,31,2021-03-12 03:17:46.751275,G.Barekat Pharm,BRKT1,IRO1BRKT0001,BRKT1,گروه دارویی برکت,34557241988629814,IRO1BRKT0003,BRKT,,9,1,
44,پدنا,تولیدی‌لاستیک‌دنا,4,15,2021-03-12 03:17:46.751275,Dena Tire,DENA1,IRO1DENA0001,DENA1,تولیدی‌لاستیک‌دنا,58120226425289272,IRO1DENA0004,DENA,,9,1,
3945,وسینا4,بانک سینا,4,44,2021-01-10,Sina Fin. Ins.,,IRO1VSIN0004,VSIN4,بانک سینا,15564051253057810,IRO1VSIN0008,VSIN,540,9,6,
79,تکنو,تکنوتار,4,19,2021-03-12 03:17:46.751275,Technotar,TKNO1,IRO1TKNO0001,TKNO1,تکنوتار,3654864906585643,IRO1TKNO0002,TKNO,,9,1,
4145,امین3,تامین سرمایه امین,4,53,2021-01-10,Amin Investment,,IRO1TSAN0003,TSAN3,تامین سرمایه امین,10505863048176451,IRO1TSAN0000,TSAN,9,9,5,
157,خلنت,لنت‌ ترمزایران‌,4,23,2021-03-12 03:17:46.751275,Iran Brake L.,LENT1,IRO1LENT0001,LENT1,لنت‌ ترمزایران‌,14957056743925737,IRO1LENT0003,LENT,,9,1,
168,دارو,کارخانجات‌داروپخش‌,4,31,2021-03-12 03:17:46.751275,Daroupakhsh P.,DPAK1,IRO1DPAK0001,DPAK1,کارخانجات‌داروپخش‌,67988012428906654,IRO1DPAK0004,DPAK,,9,1,
3287,کلوندح3,کاشی‌ الوند,4,36,2021-01-10,Alvand Tile-R,,IRR1ALVN0103,ALVX3,ح . کاشی‌ الوند,2979141555781424,IRR1ALVN0105,ALVN,448,9,8,
2963,افق3,فروشگاههای زنجیره ای افق کوروش,4,35,2021-01-10,Ofogh Koorosh,,IRO1OFOG0003,OFOG3,فروشگاههای زنجیره ای افق کوروش,34463147035531320,IRO1OFOG0003,OFOG,5,9,5,
4270,داراب2,پتروشیمی داراب,8,32,2021-01-10,Darab Petro.,,IRO7PDRP0002,PDRP2,پتروشیمی داراب,54879046436103564,IRO7PDRP0004,PDRP,1131,17,28,
37,پاکشو,گروه صنعتی پاکشو,4,32,2021-03-12 03:17:46.751275,Paksho,PASH1,IRO1PASH0001,PASH1,گروه صنعتی پاکشو,62786156501584862,IRO1PASH0002,PASH,,9,1,
126,حکشتی,کشتیرانی جمهوری اسلامی ایران,4,47,2021-03-12 03:17:46.751275,S*IRI Marine Co.,KSHJ1,IRO1KSHJ0001,KSHJ1,کشتیرانی جمهوری اسلامی ایران,60610861509165508,IRO1KSHJ0008,KSHJ,,9,1,
4058,وسخراش3,شرکت س استان خراسان شمالی,4,43,2021-01-10,Khorasan Shomali I,,IRO1OS110003,OS113,شرکت س استان خراسان شمالی,62777620670487792,IRO1OS110001,OS11,517,9,5,
3059,غمینو3,شرکت صنایع غذایی مینو شرق,5,30,2021-01-10,Minoo Co.,,IRO3MNOZ0003,MNOZ3,شرکت صنایع غذایی مینو شرق,4430767093902520,IRO3MNOZ0000,MNOZ,1011,14,29,
4430,بزاگرس3,نیروگاه زاگرس کوثر,6,28,2021-01-10,Zagros Kosar Power,,IRO3ZKPZ0003,ZKPZ3,نیروگاه زاگرس کوثر,42766662737211036,IRO3ZKPZ0007,ZKPZ,1039,15,29,
3310,وآذرح2,سرمایه‌گذاری‌توسعه‌آذربایجان‌,4,56,2021-01-10,Azarbayjan Inv.-R,,IRR1TAZB0102,TAZX2,ح . ‌توسعه‌آذربایجان‌,14831816793364546,IRR1TAZB0107,TAZB,501,9,7,
3311,وآذرح3,سرمایه‌گذاری‌توسعه‌آذربایجان‌,4,56,2021-01-10,Azarbayjan Inv.-R,,IRR1TAZB0103,TAZX3,ح . ‌توسعه‌آذربایجان‌,37216462204826434,IRR1TAZB0107,TAZB,501,9,8,
3317,شکبیر3,پتروشیمی امیرکبیر,8,32,2021-01-10,Amir Kabir Co.,,IRO7PKBP0003,PKBP3,پتروشیمی امیرکبیر,6921453510365456,IRO7PKBP0003,PKBP,1148,17,29,
39,پتایر,ایران‌ تایر,4,15,2021-03-12 03:17:46.751275,Iran Tire,TAIR1,IRO1TAIR0001,TAIR1,ایران‌ تایر,41935584690956944,IRO1TAIR0008,TAIR,,9,1,
40,پترول,گروه پتروشیمی س. ایرانیان,4,32,2021-03-12 03:17:46.751275,S*Ir.Inv.Petr.,IPTR1,IRO1IPTR0001,IPTR1,گروه پتروشیمی س. ایرانیان,69143674941561637,IRO1IPTR0001,IPTR,,9,1,
4341,کتوکا4,تولیدی و خدمات صنایع نسوز توکا,5,41,2021-01-10,TUKA Co.,,IRO3TUKZ0004,TUKZ4,تولیدی و خدمات صنایع نسوز توکا,14805277709695165,IRO3TUKZ0008,TUKZ,1016,14,30,
42,پدرخش,درخشان‌ تهران‌,4,15,2021-03-12 03:17:46.751275,Derakhshan Teh.,DRKH1,IRO1DRKH0001,DRKH1,درخشان‌ تهران‌,24079409192818584,IRO1DRKH0005,DRKH,,9,1,
49,پسهند,صنایع‌ لاستیکی‌ سهند,4,15,2021-03-12 03:17:46.751275,Sahand Rubber,SHND1,IRO1SHND0001,SHND1,صنایع‌ لاستیکی‌  سهند,10120557300120078,IRO1SHND0001,SHND,,9,1,
3323,حتوکا3,حمل‌ونقل‌توکا,4,47,2021-01-10,Tuka Trans.,,IRO1HTOK0003,HTOK3,حمل‌ونقل‌توکا,24061336725809755,IRO1HTOK0000,HTOK,123,9,5,
115,چکارن,کارتن‌ ایران‌,4,11,2021-03-12 03:17:46.751275,Iran Carton,KRTI1,IRO1KRTI0001,KRTI1,کارتن‌ ایران‌,53113471126689455,IRO1KRTI0006,KRTI,,9,1,
3325,بمپنا2,تولید برق عسلویه مپنا,6,28,2021-01-10,Bargh Mapna Co.,,IRO3BMAZ0002,BMAZ2,تولید برق عسلویه  مپنا,50626436238679042,IRO3BMAZ0000,BMAZ,1042,15,28,
3866,دانا3,بیمه دانا,3,52,2021-01-10,Dana Insurance,,IRO1BDAN0003,BDAN3,بیمه دانا,46507788352648850,IRO1BDAN0007,BDAN,740,8,5,
2279,غگلح3,گلوکوزان‌,4,30,2021-01-10,Glucosan-R,,IRR1GCOZ0103,GCOX3,ح . گلوکوزان‌,69104266980863205,IRR1GCOZ0105,GCOZ,313,9,8,
85,تملتح,تامین سرمایه بانک ملت,4,53,2021-01-10 17:05:25.885056,Mellat Inv. Bank-R,TMLX1,IRR1TMLT0101,TMLX1,ح . تامین سرمایه بانک ملت,33666678504801754,IRR1TMLT0109,TMLT,84,9,2,
155,خکمک,کمک‌فنرایندامین‌,4,23,2021-03-12 03:17:46.751275,Indamin,INDM1,IRO1INDM0001,INDM1,کمک‌فنرایندامین‌,19257295292088310,IRO1INDM0006,INDM,,9,1,
173,دتهران,داروسازی‌ تهران‌ دارو,4,31,2021-03-12 03:17:46.751275,Tehran Darou,THDR1,IRO1THDR0001,THDP1,داروسازی‌ تهران‌ دارو,26114418513020265,IRO7THDP0002,THDP,,9,1,
1864,کدماح2,معدنی‌ دماوند,4,5,2021-01-10,Damavand Min.-R,,IRR1DMVN0102,DMVX2,ح . معدنی‌ دماوند,33910589454010512,IRR1DMVN0101,DMVN,431,9,7,
2916,دعبید4,لابراتوارداروسازی‌  دکترعبیدی‌,4,31,2021-01-10,Dr. Abidi Lab.,,IRO1ABDI0004,ABDI4,لابراتوارداروسازی‌  دکترعبیدی‌,19964789050151049,IRO1ABDI0004,ABDI,188,9,6,
188,دعبید,لابراتوارداروسازی‌ دکترعبیدی‌,4,31,2021-03-12 03:17:46.751275,Dr. Abidi Lab.,ABDI1,IRO1ABDI0001,ABDI1,لابراتوارداروسازی‌  دکترعبیدی‌,49054891736433700,IRO1ABDI0004,ABDI,,9,1,
1316,وشمال3,س. چشم انداز توسعه شمال,8,43,2021-01-10,Shomal Invest.,,IRO7SHOP0003,SHOP3,س. چشم انداز توسعه شمال,36229984342281615,IRO7SHOP0000,SHOP,1193,17,29,
3903,سخزر4,سیمان‌ خزر,3,40,2021-01-10,Khazar Cement,,IRO1SKAZ0004,SKAZ4,سیمان‌ خزر,42119064477695497,IRO1SKAZ0005,SKAZ,753,8,6,
3329,خلنتح3,لنت‌ ترمزایران‌,4,23,2021-01-10,Iran Brake L.-R,,IRR1LENT0103,LENX3,ح . لنت‌ ترمزایران‌,12230871357183055,IRR1LENT0105,LENT,158,9,8,
167,دابور,داروسازی‌ ابوریحان‌,4,31,2021-03-12 03:17:46.751275,Abouraihan P.,DABO1,IRO1DABO0001,DABO1,داروسازی‌ ابوریحان‌,61332057061846617,IRO1DABO0006,DABO,,9,1,
189,دفرا,فرآورده‌های‌ تزریقی‌ ایران‌,4,31,2021-03-12 03:17:46.751275,Iran Parenteral,FTIR1,IRO1FTIR0001,FTIR1,فرآورده‌های‌ تزریقی‌ ایران‌,18303237082155264,IRO1FTIR0003,FTIR,,9,1,
2988,فملی4,ملی‌ صنایع‌ مس‌ ایران‌‌,3,17,2021-01-10,S*I. N. C. Ind.,,IRO1MSMI0004,MSMI4,ملی‌ صنایع‌ مس‌ ایران‌,60814442160947301,IRO1MSMI0000,MSMI,634,7,6,
29,بفجر,فجر انرژی خلیج فارس,4,28,2021-03-12 03:17:46.751275,Fajr E.Persia Gulf,BFJR1,IRO1BFJR0001,BFJR1,فجر انرژی خلیج فارس,46178280540110577,IRO1BFJR0002,BFJR,,9,1,
3211,خاذین2,سایپاآذین‌,4,23,2021-01-10,Saipa Azin,,IRO1AZIN0002,AZIN2,سایپاآذین‌,638745959743841,IRO1AZIN0004,AZIN,128,9,4,
3893,فاذر3,صنایع‌ آذرآب‌,4,18,2021-01-10,S*Azarab Ind.,,IRO1AZAB0003,AZAB3,صنایع‌ آذرآب‌,45658674082033179,IRO1AZAB0006,AZAB,322,9,5,
2470,وتعاون2,بیمه تعاون,8,52,2021-01-10,Taavon Ins.,,IRO7TVNP0002,TVNP2,بیمه  تعاون,43818588481497076,IRO7TVNP0002,TVNP,1180,17,28,
59,پلاسک,پلاسکوکار,4,15,2021-03-12 03:17:46.751275,Plascokar Saipa,PLKK1,IRO1PLKK0001,PLKK1,پلاسکوکار,57722642338781674,IRO1PLKK0002,PLKK,,9,1,
106,چافست,افست‌,4,12,2021-03-12 03:17:46.751275,Offset,OFST1,IRO1OFST0001,OFST1,افست‌,23936607891892333,IRO1OFST0004,OFST,,9,1,
